,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
440,Operation Varsity Blues: The College Admissions Scandal,Documentary,2021-03-17,99,7.0,English,2021
441,Pele,Documentary,2021-02-23,108,7.0,English,2021
442,ReMastered: Devil at the Crossroads,Documentary,2019-04-26,48,7.0,English,2019
443,ReMastered: The Lion's Share,Documentary,2019-05-17,84,7.0,English,2019
444,ReMastered: The Miami Showband Massacre,Documentary,2019-03-22,70,7.0,English,2019
445,Resurface,Documentary,2017-09-01,27,7.0,English,2017
447,Rose Island,Comedy,2020-12-09,117,7.0,Italian,2020
449,The Dirt,Biopic,2019-03-22,108,7.0,English,2019
454,Beats,Drama,2019-06-19,110,7.1,English,2019
455,Circus of Books,Documentary,2020-04-22,92,7.1,English,2020
456,Dance Dreams: Hot Chocolate Nutcracker,Documentary,2020-11-27,80,7.1,English,2020
458,El Pepe: A Supreme Life,Documentary,2019-12-27,73,7.1,Spanish,2019
459,End Game,Documentary,2018-05-04,40,7.1,English,2018
460,Evelyn,Documentary,2019-09-10,96,7.1,English,2019
461,Ferry,Crime drama,2021-05-14,106,7.1,Dutch,2021
462,Grass Is Greener,Documentary,2019-04-20,97,7.1,English,2019
463,Guillermo Vilas: Settling the Score,Documentary,2020-10-27,94,7.1,Spanish,2020
464,Joshua: Teenager vs. Superpower,Documentary,2017-05-26,78,7.1,English,2017
465,Keith Richards: Under the Influence,Documentary,2015-09-18,81,7.1,English,2015
466,Knock Down the House,Documentary,2019-05-01,87,7.1,English,2019
468,My Beautiful Broken Brain,Documentary,2016-03-18,91,7.1,English,2016
469,One of Us,Documentary,2017-10-20,95,7.1,English,2017
470,Pieces of a Woman,Drama,2021-01-07,126,7.1,English,2021
471,"Ram Dass, Going Home",Documentary,2018-04-06,31,7.1,English,2018
472,ReMastered: Tricky Dick & the Man in Black,Documentary,2018-11-02,58,7.1,English,2018
473,Rooting for Roona,Documentary,2020-10-15,41,7.1,Bengali,2020
475,The Dig,Drama,2021-01-29,112,7.1,English,2021
476,The Great Hack,Documentary,2019-07-24,114,7.1,English,2019
477,The White Tiger,Drama,2021-01-22,125,7.1,English,2021
478,To All the Boys I've Loved Before,Romantic comedy,2018-08-17,99,7.1,English,2018
479,American Murder: The Family Next Door,Documentary,2020-09-30,82,7.2,English,2020
480,Audrie & Daisy,Documentary,2016-09-23,98,7.2,English,2016
481,First They Killed My Father,Drama,2017-09-15,136,7.2,Khmer/English/French,2017
482,Fyre: The Greatest Party That Never Happened,Documentary,2019-01-18,97,7.2,English,2019
483,Into the Inferno,Documentary,2016-10-28,107,7.2,English,2016
484,LA Originals,Documentary,2020-04-10,92,7.2,English,2020
485,Ladies First,Documentary,2018-03-08,39,7.2,English/Hindi,2018
486,Love per Square Foot,Romantic comedy,2018-02-14,133,7.2,Hindi,2018
488,Private Life,Drama,2018-10-05,124,7.2,English,2018
490,Sometimes,Drama,2018-05-01,101,7.2,Tamil,2018
491,Soni,Crime drama,2019-01-18,97,7.2,Hindi,2019
492,The 40-Year-Old Version,Comedy,2020-10-09,124,7.2,English,2020
493,The Disciple,Drama,2021-04-30,129,7.2,Marathi,2021
494,The Edge of Democracy,Documentary,2019-06-19,121,7.2,Portuguese,2019
498,Zion ,Documentary,2018-08-10,11,7.2,English,2018
499,Dolemite Is My Name,Biopic,2019-10-25,118,7.3,English,2019
500,El Camino: A Breaking Bad Movie,Crime drama,2019-10-11,121,7.3,English,2019
501,Extremis,Documentary,2016-09-13,24,7.3,English,2016
502,Father Soldier Son,Documentary,2020-07-17,100,7.3,English,2020
503,Get Me Roger Stone,Documentary,2017-05-12,101,7.3,English,2017
504,I'm No Longer Here,Drama,2020-05-27,105,7.3,Spanish,2020
505,Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,2020-07-08,96,7.3,Spanish/English,2020
